EVENT TYPE,PLACE,EVENT,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,EVENT END DATE,UTILITY - PEOPLE AFFECTED,MAGNITUDE,YEAR,LONGITUDE,LATITUDE
Flood,Southwestern British Columbia,1990-11-08,"Southwestern British Columbia, November 8-13, 1990; 309 people evacuated and eight homes destroyed; heavy rains caused widespread flooding over a wide area of southwestern British Columbia and Vancouver Island; the British Columbian interior was cut off from the coast for several days as highways were shut down by landslides and road washouts.",0,0,309,29426861,11/13/1990 12:00:00 AM,412941,0,1990,-123.0326,49.2807
Flood,Newfoundland,1990-12-09,"Newfoundland, December 9, 1990. Heavy rain caused this damaging flood.  Up to 100 millemetres of rain fell on the area, forcing the closure of highways, flooding homes and damaging bridges.",0,0,0,2327777,12/9/1990 12:00:00 AM,0,0,1990,-56.6963,49.1212
Flood,Chaudi?re River QC,1991-04-07,"Chaudi?re River QC, April 7-8, 1991. Residents along the Chaudi?re River, south of Quebec City, experienced the highest flood levels in several years; many homes and businesses were damaged by water and ice. 1000 residents were evacuated.  Telephone poles knocked down, cars crushed by the weight of ice, flooded basements.",0,0,1000,3682004,4/8/1991 12:00:00 AM,0,0,1991,-70.9296,45.5902
Flood,Old Crow YT,1991-05-08,"Old Crow YT, May 8-9, 1991. Ice jams caused the Porcupine River to overflow and flood the community of Old Crow. Over half of the buildings sustained damage, including 32-40 homes, the church, the school,  the airport runway and terminal building, the Nursing Station and Co-op Store. Supplies, electrical systems and generators were also damaged.",0,0,0,546692,5/9/1991 12:00:00 AM,0,0,1991,-139.8257,67.571
Flood,Southwestern British Columbia,1991-08-29,"Southwestern British Columbia, August 29 to September 1, 1991. Heavy rains caused extensive damage in the Southwestern area of BC, mainly surrounding Vancouver and the Chilliwack area. More specifically: in the South Central region, Bella Coola, Chilcotin, West Central Region, Southwest Region, Fraser Columbia, Kooteney, Similkameen and Peace Regions.",0,0,0,17300120,9/1/1991 12:00:00 AM,0,0,1991,-123.0326,49.2807
Flood,Northwestern British Columbia,1991-10-08,"Northwestern British Columbia, October 8-14, 1991.  Flooding due to heavy rainfall along the Kitimat, Skeena and Nass rivers caused damage in Terrace, Stewart and Prince Rupert. Highways and forest service roads flooded and washed out, and numerous bridges were damaged or destroyed. There was erosion damage to spawning beds, and some landslides resulted. Communities along the Nass River isolated were isolated; fresh food had to be flown in through the Provincial Emergency Program.",0,0,0,0,10/14/1991 12:00:00 AM,4150761,0,1991,,
Flood,Lethbridge AB,1992-01-01,"Lethbridge AB, 1992.",0,0,0,219277,1/1/1992 12:00:00 AM,0,0,1992,-112.8516,49.6943
Flood,Peace River AB,1992-02-28,"Peace River, 388 km northwest of Edmonton AB, February 28 - March 4, 1992. Unseasonably warm weather broke up the frozen Peace River, ice jams caused water levels to rise 4.3 m above average; water levels peaked at 15 m; extensive flooding necessitated the evacuation of approximately 3800 residents of the town for at least three days; approximately 20 homes sustained severe damage, 30 others were damaged but could be occupied; no deaths or injuries were reported.",0,0,3800,2866371,3/4/1992 12:00:00 AM,0,0,1992,-117.3207,56.2325
Flood,"Sainte-Brigitte-de-Laval, about 40 km north of Qu?bec City QC",1992-03-12,"Sainte-Brigitte-de-Laval, about 40 km north of Qu?bec City QC, March 12, 1992. Approximately 40 people were airlifted from this community on Ile Enchanteresse (a mile long island 40km north of QuÃ©bec City) when flood waters caused by an ice jam on the Montmorency River rapidly inundated the town, flooding 80 houses; two QuÃ©bec government helicopters and one Canadian Forces helicopter were used in the evacuation.",0,0,40,1012311,3/12/1992 12:00:00 AM,0,0,1992,,
Flood,Hay River NT,1992-04-25,"Hay River NT, April 25, 1992. Approximately 100 residents were evacuated as a 10-kilometre-deep ice jam at the mouth of the Hay River flooded the town of 3100 people.",0,0,100,0,4/25/1992 12:00:00 AM,0,0,1992,-115.7866,60.8156
Flood,Attawapiskat ON,1992-05-18,"Attawapiskat ON, May 18, 1992. Approximately 1000 residents of this remote Cree village near James Bay were evacuated when the Attawapiskat River flooded.",0,0,1000,0,5/18/1992 12:00:00 AM,0,0,1992,-82.427,52.9244
Flood,Yukon Rivers YT,1992-06-17,"Yukon rivers YT, June 17 ? July 1992. Above-average snowpack and precipitation combined with high winter temperatures caused flooding along the Upper Liard River basin, Teslin River basin, South Canol Area, Upper Lakes of the Yukon River basin, Stewart River and Bennett Lake.  The Upper Liard River basin peaked on June 17, the fifth highest record since 1960; Teslin River peaked on June 25, breaking the old record set in 1947; Yukon Upper Lakes peaked on July 30, the 3rd highest record since 1951. Flooding caused road washouts, damage to private property and reserves, and significant threats to water and sewere facilities. The hardest hit communities were: Upper Liard, Carmacks, Carcross and Teslin.",0,0,0,228636,7/30/1992 12:00:00 AM,0,0,1992,,
Flood,Toronto ON,1992-07-31,"Toronto ON, July 31, 1992.",0,0,0,5337940,7/31/1992 12:00:00 AM,0,0,1992,-79.3839,43.6535
Flood,Elmira ON,1992-08-28,"Elmira ON, August 28, 1992.",0,0,0,4738539,8/28/1992 12:00:00 AM,0,0,1992,-80.5577,43.6
Flood,Upper Saint John River Valley NB,1993-04-12,"Upper Saint John River valley NB, April 1993. Intense spring rainfall and deeper than normal snowpack caused flooding of the Upper Saint John River valley. Public and private property and municipalities incurred damage; individuals made over 300 damage claims due to flooded basements. A sewage treatment plant, sections of the TransCanada Highway and Hotel-Dieu Hospital all sustained damage. Ice, mud and uprooted trees were scattered across the area. The following communities were inundated: Siegas, Fredericton, Rivière Verte, Village of Perth-Andover, Village of Plaster Rock, Ste. Anne de Madawaska, Town of Woodstock, St. François and Quisesibis.",0,0,300,14973222,4/12/1993 12:00:00 AM,0,0,1993,-66.125,45.2852
Flood,Swan River MB,1993-07-04,"Swan River MB, July 4, 1993. Prolonged rains resulted in severe flooding in the rural municipalities of Swan River, Minitonas, Ethelbert, the Local Government district of Mountain and adjoining municipalities, causing extensive damage to homes, public utilities and municipal infrastructure. 7 bridges washed away.  3 highways and numerous roads closed. 650 homes were evacuated.",0,0,650,5738341,7/4/1993 12:00:00 AM,0,0,1993,-101.5618,51.9667
Flood,Winnipeg MB,1993-07-25,"Winnipeg MB, July 25 - August 14, 1993. The City of Winnipeg was declared a disaster area because of flooding caused by prolonged heavy rainfall; three severe rainstorms in a five-week period during July caused sewer backups and other extensive damage to homes, power lines, and agricultural land infrastructure in Winnipeg and surrounding areas including Selkirk, Springfield and Beausejour.  Wettest summer in Winnipeg in 120 years.",0,0,0,214807255,8/14/1993 12:00:00 AM,0,0,1993,-97.1385,49.8955
Flood,Saskatchewan,1993-07-29,"Saskatchewan, July 29, 1993.",0,0,0,6503703,7/29/1993 12:00:00 AM,0,0,1993,-106.1412,55.5321
Flood,Quebec,1993-07-29,"Quebec, July 29-30, 1993.",0,0,0,10017238,7/30/1993 12:00:00 AM,0,0,1993,-71.8259,52.4761
Flood,Southern ON,1994-01-16,"Southern ON, January 16-17, 1994.",0,0,0,14299000,1/17/1994 12:00:00 AM,0,0,1994,-81.316,43.174
Flood,Plaster Rock NB and Lower St. Lawrence Region QC,1994-04-16,"Plaster Rock NB and Lower St. Lawrence Region, QC, April 16-26, 1994. Freshet during the spring and one rainstorm caused flooding of the Saint John and Miramachi Rivers. Flooded basements, riverbank erosion and damaged roads was incurred by private, municipal and provincial property. Over 130 residences, 20 farms, 14 small businesses and the following 4 municipalities were affected: Village of Clair, St. Fran?ois, Rivi?re Verte and Plaster Rock.  In Quebec, ice jams along the Matap?dia, Restigouche and Gasp?sie Rivers caused flooding. Thirty-two municipalities were flooded, including the following: Rimouski, Matane, Bonaventure, Restigouche, Matap?dia, Petite Cascap?dia and Capchat. Matap?dia was isolated for 2 days without electricity or telephone service; 100 people were evacuated. Three bridges were washed away in the lower St. Lawrence area, and communication between southern and northern St. Lawrence shore was cut.",0,0,0,57025698,4/26/1994 12:00:00 AM,0,0,1994,,
Flood,Poplar Bay AB,1995-01-01,"Poplar Bay AB, 1995.",0,0,0,35830,1/1/1995 12:00:00 AM,0,0,1995,-114.1138,53.0113
Flood,Quebec,1995-01-01,"Quebec, 1995.",0,0,0,57478,1/1/1995 12:00:00 AM,0,0,1995,-71.8259,52.4761
Flood,Western MB,1995-04-01,"Western MB, April 1995.  In April, rapid snowmelt sent very high flows into the Assiniboine River and the Red River below the Shellmouth Dam.  Spring runoff and two heavy snowfalls of 20-30 cm each in late March had contributed to the flooding problem.  Public road networks, urban and rural properties and agricultural lands suffered damage. Damage occurred at over 100 locations on the provincial highway system, at over 5500 sites on municipal roads and to large culverts and bridges.  Seventy communities were inundated in Manitoba, including: Roblin, Russell, Binscarth, Birtle, Glenora, Pilot Mound, Melita, Virden, Elkhorn, Boissevain, Springfield, Brandon and Minnedosa. The hardest hit areas were Brandon and Shellmouth along the Assiniboine River.  Both a small town of 50 people and the Sioux Valley First Nations Reserve were evacuated. Refer to the Saskatchewan entry for more information on this weather system.",0,0,100,4205645,4/1/1995 12:00:00 AM,0,0,1995,-98.2856,50.0627
Flood,Northeastern Saskatchewan,1995-04-01,"Northeastern Saskatchewan, April 1995. An unusual quick thaw combined with spring rain early in the season caused extensive flooding in Eastern Saskatchewan.  The flooding caused damage to agricultural lands, urban, rural, public and private properties. Numerous Saskatchewan communities declared a State of Emergency, including: Quill Lake, Engleford, Langeburg and the City of Melville. Other inundated areas were: Carrot River, Moosomin, White Sands, Yorkton, Melfort and Nipawin. Refer to the Manitoba entry for more information on this weather system.",0,0,0,7572381,4/1/1995 12:00:00 AM,0,0,1995,-82.6489,46.3849
Flood,"East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood, Fernie and surrounding areas BC",1995-06-01,"East Kooteny (Elk River-Watershed) Region and in the municipalities of Sparwood, Fernie and surrounding areas BC, June 1995.  Severe flooding due to heavy rains.",0,0,0,7155707,6/1/1995 12:00:00 AM,0,0,1995,,
Flood,Southeastern British Columbia,1995-06-05,"Southeast region of British Columbia, June 5-9, 1995. Significant amounts of rainfall in the southern Rockies caused flooding in the East Kootenay (Elk River Watershed) Region. Provincial, municipal and private sector properties were damaged in the Kootenay Region and in the municipalities of Sparwood, Fernie, Princeton, Cranbrook and Erickson. There were 36 homes damaged, 2 road bridges and 1 CPR rail bridge washed out. On June 6, 702 residents were evacuated from Fernie and 100 residents evacuated from Sparwood.  The evacuations lasted until June 9.",0,0,802,7155707,6/9/1995 12:00:00 AM,0,0,1995,,
Flood,Southern Alberta,1995-06-06,"Southern Alberta, June 6-9, 1995. Heavy rain and snowmelt led to flooding. The most extensive damage occurred from the Oldman and South Saskatchewan Rivers from Crownest Pass to Pincher Creek, Lethbridge and Medicine Hat. This includes the southern areas of High River. Roads, property, riverbanks, trails, agricultural land and over 20 bridges were damaged. More than 215 homes had flooded basements and some experienced short power outages.",0,0,0,154623306,6/9/1995 12:00:00 AM,0,0,1995,70.0742,-49.4749
Flood,Southwestern British Columbia,1995-11-27,"Southwestern British Columbia, November 27-29, 1995. Heavy rains and melting snow caused the Tulameen and Similkameen Rivers to overflow their banks in four regions: East coast of Vancouver Island, Mainland Coast, Mainland Coastal Valleys and the Interior Valley. The flooding forced 230 people to flee their homes in Princeton, Tulameen and Coalmont. A State of Emergency was declared in Princeton, a town of 2,800 people. Provincial, municipal and private sector properties were damaged. Some homes faced major structural repairs. There were actually three periods of heavy rains: Nov. 7-8, Nov. 13-17 and Nov. 27-29 when 135.4 mm, 395.0 mm and 650.6 mm of precipitation fell, respectively.",0,0,230,18835222,11/29/1995 12:00:00 AM,0,0,1995,-123.0326,49.2807
Flood,Sunny Valley AB,1996-01-01,"Sunny Valley AB, 1996.",0,0,0,100307,1/1/1996 12:00:00 AM,0,0,1996,-123.3771,42.6393
Flood,Flat Bay NL,1996-02-17,"Flat Bay NL, February 17-19, 1996. A rainstorm along west coast of Newfoundland, flooding caused extensive damages. Highways and bridges washed away, 30 residents were evacuated by helicopter.",0,0,30,0,2/19/1996 12:00:00 AM,0,0,1996,-58.5889,48.3991
Flood,"Red River, Souris River, Assiniboine River and Pembina River MB",1996-04-18,"Red River, Souris River, Assiniboine River and Pembina River MB, April 18 - May 8, 1996. Heavy rainfall in the winter, high soil moisture levels and an unseasonably cool spring led to flooding. Thick ice flows and flood water caused damage to bridges, telephone cables, small businesses, roads, agricultural lands, and other community infrastructure. Small communities within the vicinity of Red River, Souris River, Assiniboine River and Pembina River were inundated. Thousands of customers went without telephone service for a week and 285 people were evacuated.",0,0,285,6816377,5/8/1996 12:00:00 AM,0,0,1996,,
Flood,Timmins and Dufferin County ON,1996-05-17,"Timmins and Dufferin counties ON, May 17-19, 1996.",0,0,0,378557,5/19/1996 12:00:00 AM,0,0,1996,,
Flood,Lesser Slave Lake area AB,1996-06-17,"Lesser Slave Lake area AB, June 17-21, 1996. Large amounts of rainfall and a high water table caused flooding. Extensive damage was done to agricultural lands, farms, municipal roads, public works, private property, businesses and residential communities. There were over 700 claims received for property damage. Minor damage occurred to primary highways and bridges, and some dykes were destroyed.  The most severely affected communities were along Driftpile River, Swan River, East Prairie River and Arcadia River. Driftpile First Nation Reserve, Sucker Creek First Nation Reserve, Swan River First Nation Reserve, Municipal District of Big Lakes #125 and East Prairie Metis Settlement incurred damage. In total, 922 people were evacuated.",0,0,922,18159797,6/21/1996 12:00:00 AM,0,0,1996,-115.0595,55.414
Flood,Atikokan ON,1996-07-05,"Atikokan ON, July 5-6, 1996.",0,0,0,278061,7/6/1996 12:00:00 AM,0,0,1996,-91.6246,48.7625
Flood,Saguenay River Valley QC,1996-07-19,"Saguenay River Valley QC, July 19, 1996; 290 mm of rainfall in less than 36 hours and caused at least 10 deaths.  Thousands of homes, roads and bridges washed out; Downed power lines.  A total of 15,825 people had to leave their homes.  At least 20 major bridges heavily damaged.  Greater than 50 towns and villages inundated, or main roads destroyed and electricity cut off.  Aluminium plants and paper mills slowed or closed for a month.  At least 3,200 industry workers idling.  3 schools closed. The Canadian Red Cross sent 1600 volunteers to set up a temp office and evacuate people. Overall they assisted 16,000 people.",10,0,15825,300000000,7/19/1996 12:00:00 AM,0,0,1996,-71.0692,48.406
Flood,Ottawa ON,1996-08-08,"Ottawa ON, August 8, 1996.",0,0,0,21308000,8/8/1996 12:00:00 AM,0,0,1996,-75.6903,45.4211
Flood,Montreal and Mauricie Region QC,1996-11-08,"Montreal and Mauricie Region QC, November 8-9, 1996. Severe flooding due to heavy rains occurred in the Montréal and Mauricie regions.  Approximately 150 mm of rain fell on Montréal in 36 hours; some communities received 160 mm. The flooding caused extensive damage to agricultural lands, public works and private property including 6,000 residences and 100 businesses and industries. Two major highways closed near Montréal, washed out roads cut off three villages in Mauricie.  In total, 121 municipalities were affected and 1,000 people (425 families) were evacuated. No injuries were reported.",0,0,1000,93089380,11/9/1996 12:00:00 AM,0,0,1996,,
Flood,Nechako River BC,1996-11-29,"Nechako River BC, November 29, 1996. Record low temperatures on November 21, 1996 caused thick ice formation on the Nechako River which resulted in ice jam flooding; an ice jam five kilometres long raised water levels along the low-lying regions of Prince George, flooding industrial and residential areas.",0,0,0,0,11/29/1996 12:00:00 AM,0,0,1996,-122.7437,53.9267
Flood,Durham ON,1997-01-09,"Durham ON, January 9, 1997. The mayor of Durham declared a State of Emergency due to flooding of the Saugeen River; approximately 200 residents evacuated; some businesses and schools closed; sewage backup; relief efforts continued for over a week due to poor weather conditions, most evacuees had returned by Jan. 24, 1997. Flooding also occurred on Feb. 22-23 1997.",0,0,200,0,1/9/1997 12:00:00 AM,0,0,1997,-78.8698,44.0339
Flood,South-Central Saskatchewan,1997-03-30,"South-central SK, March-April 1997. In late March, there was minor flooding in the municipalities of Swift Current and Ponteix.  From March 30 - April 3 1997, a breakup of ice caused flooding in low lying areas along the Moose Jaw River.  A State of Emergency was declared.  Twenty homes were flooded and 140 families (assume a family of 4) were evacuated.",0,0,516,1319475,4/3/1997 12:00:00 AM,0,0,1997,-113.0465,53.323
Flood,Peace River AB,1997-04-19,"Peace River AB, April 19-23, 1997. Heavy snowpacks and a rapid snowmelt caused ice jams on the Peace River which backed up on Heart River, causing flooding of two towns. Peace River and Fort McMurray both sustained damages to homes, crop land, roads, bridges, culverts and businesses.  In the town of Peace River, 50% of the businesses were damaged, along with 20 farm homes and hundreds of bridges and roads; in some areas the water reached levels of 2 meters. A State of Emergency was declared in the town of Peace River, and 4000 people were evacuated.",0,0,4000,47368494,4/23/1997 12:00:00 AM,0,0,1997,-117.3207,56.2325
Flood,"Assiniboine, Red and Winnipeg Rivers MB",1997-04-22,"Assiniboine, Red and Winnipeg Rivers MB, April-May 1997. The province of Manitoba declared a state of emergency on April 22, 1997. Five days later, Emerson was hit. Over 7000 military personnel were employed for 36 days to assist in preventing flood damage and in relocating the 25447 evacuees; communities affected include Emerson, Rosenort, St. Jean Baptiste, Morris, St. Adolphe, Nutimik, Portage la Prairie, Ste. Agathe, St. Norbert, Letellier, Dominion City, Scanterbury, Halbstadt, Brunkhild, Domain, LaSalle, Sanford and Winnipeg.",0,0,25447,498513577,5/14/1997 12:00:00 AM,0,0,1997,,
Flood,Southern British Columbia,1997-05-01,"Southern BC, May 1, 1997. Below average temperatures, steady precipitation, a heavier than usual snow pack and extensive ground saturation caused flooding in the southern regions of BC. Extensive damage was done to agricultural lands, public works, private property and businesses. Precipitation in notable sites was 40110% above normal. Riverbank erosion, washouts, road closures and landslides affected many communities. The following areas flooded: Kettle River, Kicking Horse River, Elk River, Okanagan Lake, Columbia River, Salmon River, Slocan River, Shuswap Lake South Thompson River and Bulkley river.",0,0,0,40114688,5/1/1997 12:00:00 AM,0,0,1997,-123.1915,48.7608
Flood,Lesser Slave Lake area AB,1997-06-17,"Lesser Slave Lake area AB, June 17-20, 1997.  Major flooding occurred in the Lesser Slave Lake area in June.  This resulted in significant damage to property, pasture, and buildings.",0,0,0,664352,6/20/1997 12:00:00 AM,0,0,1997,-115.0595,55.414
Flood,Saint John River NB,1998-03-09,"Saint John River NB, March 9-10, 1998.  Warm temperatures and a storm delivering 78 mm of rain led to ice break-up, ice jams and flooding along the Saint John River. Roads, bridges and some residences in low lying areas sustained major damages. Some families were isolated for up to a week until the roads were repaired. Areas affected were: Fredericton, Saint John, Moncton, Miramichi and Saint Leonard.",0,0,0,5636784,3/10/1998 12:00:00 AM,0,0,1998,-66.9082,45.898
Flood,Eastern Ontario and Quebec,1998-03-28,"Eastern Ontario and Quebec, March 28 - April 15, 1998. Warm weather and thunderstorms caused spring flooding. In Ontario, the Clyde River, Ottawa River, Mississippi River and rivers feeding Lake Nipissing overflowed. The lower Trent System below Peterborough from Rice Lake to Bay of Quinte also experienced flooding. States of Emergency were declared in these communities: Lanark Highlands, Village of Kearney, Township of Drummond, North Elmsley, Beckwith Township, Carleton Place and Mississippi Mills. In Quebec, over 15 rivers flooded and caused the evacuation of 3,697 people in 140 municipalities. Rivers on the North Shore of St. Lawrence River, St. Lawrence River, Assumption River, Chateauguay River, Richelieu River, Ottawa River, Lake St. Pierre and Lake Champlain flooded. Damage mainly occurred in the Montérégie and Mauricie regions.",0,0,3757,27741685,4/15/1998 12:00:00 AM,0,0,1998,-77.4473,46.0122
Flood,British Columbia,1999-03-01,"British Columbia, March 1 - July 30, 1999. Above average spring-runoff brought a freshet flood to such areas of British Columbia as: Terrace, Kitimat, 100 Mile, Kamloops, Prince George and Clearwater. Severe erosion damages, washed out trails, roads, and culverts, heavy rain, landslides, and damages to bridges were also experienced.",0,0,0,22426695,7/30/1999 12:00:00 AM,0,0,1999,-125.0024,55.0013
Flood,Melita MB,1999-04-01,"Melita MB, April 1999. Melita, Manitoba was threatened by the largest flood in the area since 1976.  The Souris river outflow rose to 169.8 cubic m/s of water compared to its normal outflow of 4.25 cubic m/s.  The Souris river spread to at least 2 km wide at its peak flooding, and almost topped the makeshift dikes.  The flood washed out roads and damaged bridges in several rural municipalities, and made over 800000 hectares of farmland unseedable this year. Both provincial and federal aid was administered in the form of deadline pushbacks and financial assistance.",0,0,0,109195449,4/1/1999 12:00:00 AM,0,0,1999,-100.9905,49.2691
Flood,Southeastern Saskatchewan,1999-04-01,"Southeastern Saskatchewan, April-June 1999.  Heavy rainfall and flooding over the spring proved to be very costly for Saskatchewan farmers.  Due to all the excess water, farmers were only able to seed a portion of the acres they had planned to, resulting in substantial economic losses. Highways and provincial, municipal and private properties of the region were also damaged.",0,0,0,1717172,6/30/1999 12:00:00 AM,0,0,1999,,
Flood,White Rock BC,1999-06-08,"White Rock BC, June 8, 1999. A sudden, intense storm delivered 200 mm of pea-sized hail, and an extra 70 mm of rain in less than 4 hours, created flash floods and mudslides in White Rock, a suburb of Vancouver BC. At its height, the water was over 1.5 m deep. Both streets and basements were flooded, and sewer and water mains backed up causing a health hazard. Emergency workers evacuated people from their homes and closed schools.",0,0,30,0,6/8/1999 12:00:00 AM,0,0,1999,-122.7979,49.0235
Flood,British Columbia,1999-06-16,"British Columbia, June 16-25, 1999.  Flooding on the Skeena in the northwestern part of BC closed roads and highways, and forced 30 people from their homes in Old Remo on June 18. Other cities affected included Hazelton, Usk, Terrace, and Kitimat.  The South Thompson river rose until June 25 and caused only localised flooding.  The Clearwater river in central BC forced 88 people from their homes in Clearwater and Barriere on Sun June 20.  The Fraser river peaked just below 1997 flood levels of 6.5 m and caused low lying areas to flood until June 25.  All the flooding is blamed on the high snowfall of the previous winter.",0,0,118,0,6/25/1999 12:00:00 AM,0,0,1999,-125.0024,55.0013
Flood,Clearwater AB,1999-07-04,"Clearwater AB, July 4-5, 1999.  About 62 cm of snow and 122 mm of rain fell starting on July 2.  Flooding forced more than 300 residents of Clearwater to flee July 4. The flooding destroyed 100 km of roads and several bridges in central Alberta. The North Saskatchewan river peaked at 8.45 m just shy of the flood level.",0,0,350,8751452,7/5/1999 12:00:00 AM,0,0,1999,-115.6266,52.316
Flood,Prince Edward Island,1999-09-07,"Prince Edward Island, September 7, 1999.  More than 200 mm of rain fell in a short period of time during a severe rainstorm.  Flash flooding occured throughout the province; natural and man-made watercourses were overcome.  Eight highways and two bridges were severely damaged, as well as other provincial and municipal infrastructure.  Impacts were also seen on the fisheries and agricultural industries.",0,0,0,1441367,9/7/1999 12:00:00 AM,0,0,1999,-63.5955,46.5035
Flood,Maritime Provinces,1999-09-23,"Maritime Provinces, September 23, 1999.  Record 1-day rainfall was caused by the remnants of tropical storm Harvey and Hurricane Gert.  Oxford NS was flooded when 2 nearby rivers overtopped their banks, after receiving 200 mm of rain in one day.  A seniors residence of 30 people and 15 families were evacuated from Moncton NB which received 160 mm of rain.  A number of bridges and roads were washed out in the region. In Newfoundland, 10 m whitecaps smashed the breakwater to pieces at Lord's Cove, and destroyed a number of buildings. Wharves were also destroyed in St. Brides, and Plancentia Bay NF.",0,0,90,4912305,9/23/1999 12:00:00 AM,0,0,1999,-64,46
Flood,Vanguard SK,2000-07-03,"Vanguard SK, July 3, 2000.  The Village of Vanguard and seven surrounding municipalities experienced a severe flood, causing extensive damage to private property and public infrastructure. More than 333 mm of rain ? equivalent to the area's annual rainfall ? fell on the area in less than 10 hours. Roads were closed, basements flooded, and two bridges were washed out. Nine families were forced from their homes due to flooding.  Residents were also advised not to drink the water for two weeks because the village's water treatment plant and sewer system were submerged during the flood. No deaths or injuries were reported.",0,0,36,3787294,7/3/2000 12:00:00 AM,0,0,2000,-107.3017,49.9065
Flood,Southern Manitoba,2000-07-07,"Southern Manitoba, July 7-14, 2000.   Heavy rains occurred throughout July causing major problems in some areas.  On July 7, between 80 -100 millimetres of rain fell in a four hour time-frame, washing out roads and flattening crops.  Winds reached almost 125 km/h, and lightning strikes reached up to 1,000 hits an hour.  The prolonged rainfall resulted in saturated soil, and overland flooding across the province with reports of flooded basements, blocked drainage systems, and backed-up sewers.",0,0,0,2917561,7/14/2000 12:00:00 AM,0,0,2000,-99.2506,57.1483
Flood,Sydney NS,2000-11-02,"Sydney NS, November 2-11, 2000.  Heavy rains hit Cape Breton and Victoria County for nearly ten days, causing flooding and damages to homes and businesses.  Almost 100 millimetres of rain fell in a 24-hour period, flooding streets and forcing the evacuation of 200 families.  One woman was trapped in her car and suffered injuries when a massive culvert collapsed due water pressure.  A boil order was in effect for a week for 1,000 residents in Donkin and at least 2 weeks for the 30,000 residents of Glace Bay, Reserve Mines and Dominion.",0,1,800,5627843,11/11/2000 12:00:00 AM,0,0,2000,-60.1941,46.138
Flood,Southern Manitoba,2001-04-01,"Southern Manitoba, April 2001.  Southern Manitoba suffered significant losses during spring flooding.  Highway infrastructures, businesses and private and public properties were extensively damaged.",0,0,0,16710626,4/1/2001 12:00:00 AM,0,0,2001,-99.2506,57.1483
Flood,Peace River area BC,2001-06-01,"Peace River area BC, June 2001.  The region was subjected to many intense precipitation events.  Increased tributary levels combined with the spring freshet caused the over-saturation of the soil and surface runoff.  This in turn triggered several landslides that cut-off highways.  Property and infrastructure damage was extensive. Pink Mountain and Halfway River were both affected.",0,0,0,20942391,6/1/2001 12:00:00 AM,0,0,2001,-121.3636,56.2397
Flood,Northeast and Central British Columbia,2001-07-01,"Northeast and Central British Columbia, July 2001.  A severe five-day rainstorm caused flood damage to 100 homes and to critical infrastructure.  More than 200 mm of rain fell.  Roads and bridges were washed out, businesses and public and private properties were damaged, two trains derailed, and people were temporarily stranded.",0,0,0,9323887,7/1/2001 12:00:00 AM,0,0,2001,-123.1013,49.2714
Flood,Attawapiskat First Nation ON,2002-05-01,"Attawapiskat FN, ON, May 2002. Approximately 1200 people were evacuated to Moosonee and Timmins following the flooding of the Attawapiskat River. A municipal state of emergency was declared.",0,0,1200,0,5/1/2002 12:00:00 AM,0,0,2002,-82.4311,52.9276
Flood,British Columbia,2002-05-20,"British Columbia, May 2002.  High snow-pack levels, rapid melting and heavy rainfall caused severe runoff and flooding in areas of B.C. except Vancouver Island and the Central Coast. The spring freshet caused significant damage to private properties, public transportation corridors, and recreation facilities.",0,0,0,0,5/20/2002 12:00:00 AM,0,0,2002,-125.0024,55.0013
Flood,"Municipalities of Ignace, Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Valle, Lake of the Woods, Morley, Machin; Township of Sioux-Narrows - Nestor Falls, ON",2002-06-09,"Municipalities of Ignace, Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Valle, Lake of the Woods, Morley, Machin; Township of Sioux-Narrows - Nestor Falls ON, June 9-11, 2002.  Parts of northwestern Ontario were declared disaster areas because of severe flooding. Roads and highways were washed out and closed, power and telecommunication lines were disrupted, and private properties were greatly damaged.",0,0,0,6975854,6/9/2002 12:00:00 AM,0,0,2002,,
Flood,Southern Alberta,2002-06-11,"Southern AB, June 11, 2002.  Approximately 280 mm of rain fell on the area within a few days.  The heavy rain and the unusually late spring runoff caused mudslides and forced sewage into river systems, and power lines were damaged in Waterton Lake National Park.  A local state of emergency was declared for the areas of: Pincher Creek, County of Warner, Village of Sterling, Village of Warner, Village of Foremost, and the Town of Coaldale.  Two hundred residents from the Blood First Nation and 150 residents from the Peigan First Nation were evacuated.",0,0,350,16054182,6/11/2002 12:00:00 AM,0,0,2002,70.0742,-49.4749
Flood,Southeast MB,2002-06-11,"Southeast MB, June 11, 2002. Ten communities declared a state of emergency following severe flooding of homes and roads. About 240 mm of rain fell, causing the worst flooding southeast Manitoba had seen in 45 years. Levels of the Roseau River declined for a few days; however, additional flooding was expected the following week given the record water levels in the American portion of the river and the expected crest in southeast Manitoba. Residents and flood workers built dikes and laid sandbags as a preventative measure in the event of further flooding. Several roads were closed and some of these washed out or were covered with water. Crops were severely damaged because fields were submerged under water, and homes were inundated.",0,0,150,10376248,6/11/2002 12:00:00 AM,0,0,2002,-97.1385,49.8951
